date,index_type,index_norm
2025-03-01,Core Essentials,137.75619320396467
2025-04-01,Core Essentials,138.12577810354648
2025-05-01,Core Essentials,138.48453404320406
2025-06-01,Core Essentials,138.92932095191958
2025-07-01,Core Essentials,139.11294369995605
2025-08-01,Core Essentials,139.59327936379898
2025-09-01,Core Essentials,139.85505033227267
2025-10-01,Core Essentials,140.02605534998293
2025-11-01,Core Essentials,140.20185340345407
2010-01-01,Essentials,88.99211531115647
2010-02-01,Essentials,89.06788311389948
2010-03-01,Essentials,89.2785426035155
2010-04-01,Essentials,89.34864805262417
2010-05-01,Essentials,89.37563158960603
2010-06-01,Essentials,89.47247976969784
2010-07-01,Essentials,89.54544855160368
2010-08-01,Essentials,89.62792184430187
2010-09-01,Essentials,89.72410193428551
2010-10-01,Essentials,89.84852285766948
2010-11-01,Essentials,89.96868108380144
2010-12-01,Essentials,90.0834106435422
2011-01-01,Essentials,90.30284341820725
2011-02-01,Essentials,90.62310385247744
2011-03-01,Essentials,90.92362717044864
2011-04-01,Essentials,91.10540046837005
2011-05-01,Essentials,91.36018151470128
2011-06-01,Essentials,91.48460110655222
2011-07-01,Essentials,91.65003025879344
2011-08-01,Essentials,91.8942331367235
2011-09-01,Essentials,92.16905353989452
2011-10-01,Essentials,92.26439879530545
2011-11-01,Essentials,92.34893283873542
2011-12-01,Essentials,92.52998379029614
2012-01-01,Essentials,92.71365775319215
2012-02-01,Essentials,92.79546417541292
2012-03-01,Essentials,92.93843625041752
2012-04-01,Essentials,93.07709023466636
2012-05-01,Essentials,93.15131419035401
2012-06-01,Essentials,93.24190531587534
2012-07-01,Essentials,93.3198352378545
2012-08-01,Essentials,93.47785603645968
2012-09-01,Essentials,93.59017681188976
2012-10-01,Essentials,93.73878363770199
2012-11-01,Essentials,93.87903920983264
2012-12-01,Essentials,94.10472532003872
2013-01-01,Essentials,94.28739325082455
2013-02-01,Essentials,94.42001056647081
2013-03-01,Essentials,94.4944801962067
2013-04-01,Essentials,94.44251066891272
2013-05-01,Essentials,94.5743956159177
2013-06-01,Essentials,94.76854881982156
2013-07-01,Essentials,94.92753431647925
2013-08-01,Essentials,94.9732454846864
2013-09-01,Essentials,95.15516191841354
2013-10-01,Essentials,95.32697654836997
2013-11-01,Essentials,95.38468185585995
2013-12-01,Essentials,95.60411697434725
2014-01-01,Essentials,95.65750504893575
2014-02-01,Essentials,95.82415437652426
2014-03-01,Essentials,96.16798329360198
2014-04-01,Essentials,96.25500330213448
2014-05-01,Essentials,96.52197726779256
2014-06-01,Essentials,96.64714583645679
2014-07-01,Essentials,96.81725000416122
2014-08-01,Essentials,96.96710649005529
2014-09-01,Essentials,97.10367444462
2014-10-01,Essentials,97.05712008989414
2014-11-01,Essentials,97.23913700530447
2014-12-01,Essentials,97.41576062441001
2015-01-01,Essentials,97.29727298874356
2015-02-01,Essentials,97.46563894550607
2015-03-01,Essentials,97.51862612005955
2015-04-01,Essentials,97.64663664564796
2015-05-01,Essentials,97.73642853357643
2015-06-01,Essentials,97.91042156989936
2015-07-01,Essentials,98.0623484475687
2015-08-01,Essentials,98.17389166597066
2015-09-01,Essentials,98.30740937920059
2015-10-01,Essentials,98.30703195749292
2015-11-01,Essentials,98.35773166762164
2015-12-01,Essentials,98.34780938806276
2016-01-01,Essentials,98.45165691874034
2016-02-01,Essentials,98.63353743978945
2016-03-01,Essentials,98.65669522766294
2016-04-01,Essentials,98.82613095383492
2016-05-01,Essentials,98.95011594303064
2016-06-01,Essentials,99.02783358971031
2016-07-01,Essentials,99.2225859277001
2016-08-01,Essentials,99.33038693668362
2016-09-01,Essentials,99.45569716493456
2016-10-01,Essentials,99.56061924066326
2016-11-01,Essentials,99.66814479995575
2016-12-01,Essentials,99.83926724417593
2017-01-01,Essentials,100
2017-02-01,Essentials,100.17467679702405
2017-03-01,Essentials,100.25140288774969
2017-04-01,Essentials,100.46716859174096
2017-05-01,Essentials,100.59229852778329
2017-06-01,Essentials,100.72013920056835
2017-07-01,Essentials,100.76615192437812
2017-08-01,Essentials,100.90145057321465
2017-09-01,Essentials,101.0530927297133
2017-10-01,Essentials,101.37795941015293
