YEAR,AGE,avg_no_children,avg_no_children_3_year
1992,17,0.05512890623170425,0.07831530613840966
1992,18,0.14425676388532221,0.13672269544203125
1992,19,0.21036917848867742,0.2323780399882697
1992,20,0.3310827376923887,0.32450483960382404
1992,21,0.414260865663576,0.42198686634348087
1992,22,0.5206726777538262,0.5301072943397287
1992,23,0.6766160344388089,0.6643979511594623
1992,24,0.799475381846967,0.7824536694205587
1992,25,0.864382316440106,0.8940418191645633
1992,26,1.01096965351377,0.9891956472939477
1992,27,1.0884395504379374,1.1194209452755066
1992,28,1.2515452924312964,1.229032920730808
1992,29,1.3264830529308338,1.3339435576250598
1992,30,1.4190954667357738,1.415561916505396
1992,31,1.502067782655753,1.5102923762623923
1992,32,1.607937214875219,1.5864043492380526
1992,33,1.6511076815381915,1.656571525310452
1992,34,1.7127669154280216,1.7306859892042017
1992,35,1.8292490952756928,1.7947330228322949
1992,36,1.840289018534357,1.8262348166831024
1992,37,1.8082778313006143,1.86316446854589
1992,38,1.9455655063661887,1.903970971604817
1992,39,1.9638324044155453,1.9659703640856394
1992,40,1.9886065151338745,1.9835331640178118
1992,41,1.9986200120026656,1.9926586899588308
1992,42,1.990939981344794,2.0081986891427834
1992,43,2.0349440212354164,2.034143706174382
1992,44,2.077134946592829,2.0557093931108104
1994,15,0.010838404881440536,0.022886808656459322
1994,16,0.03546236429775184,0.04430755781668875
1994,17,0.08619517889338044,0.09059570902389198
1994,18,0.1515213285415282,0.15854486965501258
1994,19,0.2395397478510853,0.2504422500711999
1994,20,0.36047138508192844,0.35110999854568203
1994,21,0.449739384935726,0.4360863426648283
1994,22,0.4941780854978756,0.524736955685382
1994,23,0.6206101846088253,0.6275392668733148
1994,24,0.7528574278576371,0.7413873593983115
1994,25,0.8599322177965393,0.8696118579521249
1994,26,1.0001123732259416,0.9962090302151843
1994,27,1.1204818557227358,1.0717911374891247
1994,28,1.0935442779475248,1.1704673184469054
1994,29,1.2906084350926008,1.2792752180506746
1994,30,1.435429631155734,1.423365473903118
1994,31,1.5446742164475569,1.500252815028974
1994,32,1.5223808331913828,1.590809013886379
1994,33,1.6993861927054308,1.6726586705822057
1994,34,1.7989411860855067,1.7403477560822627
1994,35,1.724076687121495,1.7933396371261279
1994,36,1.8580481938482132,1.8114853826235304
1994,37,1.8538857125486006,1.87179441403489
1994,38,1.9031629647344424,1.9184002828047921
1994,39,1.9982654958937707,1.9339125862627717
1994,40,1.9001773370721322,1.9432259222556256
1994,41,1.929672648847812,1.9348505158851717
1994,42,1.976659358403956,1.953546936802265
1994,43,1.9541537131535867,2.0002365676733005
1994,44,2.073467929834636,2.013362373700814
1995,15,0.026899149035088922,0.03443818067415224
1995,16,0.04224087682635115,0.05898951334341591
1995,17,0.10999793878723932,0.10162732323995168
1995,18,0.15334238847132334,0.17197168163307114
1995,19,0.25364162836736986,0.2577893563342235
1995,20,0.3711577207289049,0.3775489322166961
1995,21,0.5011064823105944,0.49535441564608124
1995,22,0.6121557669106547,0.5861229428838322
1995,23,0.6497187097531963,0.6629937550373146
1995,24,0.7192587220530821,0.7566880375327047
1995,25,0.893784175632096,0.8464229279749698
1995,26,0.9342454043935888,0.9671874257074634
1995,27,1.0727564729115941,1.062500151923158
1995,28,1.1733209986363804,1.1604626398428988
1995,29,1.2297626442678427,1.2821758143393425
1995,30,1.4336931985844468,1.3874168883350206
1995,31,1.491763885714694,1.498784306949965
1995,32,1.5726009392451534,1.545149745524961
1995,33,1.5700974277369406,1.6316242199523023
1995,34,1.7449210355619744,1.7082794680908453
1995,35,1.8107930728521984,1.7907367548072877
1995,36,1.8182336605725462,1.8316718751658334
1995,37,1.8649925500288762,1.8652513481293527
1995,38,1.9147152338678728,1.9051849091641813
1995,39,1.9400092200788526,1.9379686990107485
1995,40,1.9583553970089924,1.9548889063750932
1995,41,1.9666364617113787,1.958978233245537
1995,42,1.9518833671611469,1.9750919710450339
1995,43,2.007928108936828,1.959545825103605
1995,44,1.919519895837029,1.963481047447539
1998,15,0.03362471939299562,0.06583793609915227
1998,16,0.0980969157869322,0.0928116795333604
1998,17,0.14632321996791478,0.13435261209079416
1998,18,0.15904331350102402,0.18675306892867805
1998,19,0.25403475757418004,0.25606328365626435
1998,20,0.3562755534723077,0.34200747771455203
1998,21,0.4227754903610875,0.44967841072139997
1998,22,0.583986884819603,0.5485038671861671
1998,23,0.6440056809960935,0.6725032665278543
1998,24,0.7814120271377921,0.7682225339974492
1998,25,0.8784254497329099,0.8587477624015892
1998,26,0.91667869871107,0.9333224866859912
1998,27,1.0015943764578645,1.0378747719115253
1998,28,1.1779723852335129,1.1609165767766971
1998,29,1.2867180116983692,1.2724336582737195
1998,30,1.3525383826105457,1.3667315711922003
1998,31,1.4700893853542667,1.4692211631919532
1998,32,1.5825998360512588,1.5528928139465943
1998,33,1.596886116962848,1.6298075642311616
1998,34,1.707716063754433,1.716603063986648
1998,35,1.833632355225594,1.7767874331444793
1998,36,1.7841787664620568,1.833931523212405
1998,37,1.884614966813896,1.8644284640598374
1998,38,1.9253257111249436,1.9232324636295886
1998,39,1.9583403537258963,1.8893064688244656
1998,40,1.7841791370505176,1.8780100527107715
1998,41,1.889995534356598,1.8523063090746597
1998,42,1.882390732989371,1.8933502606071562
1998,43,1.9081371498138708,1.9049460229852935
1998,44,1.925578002108208,1.9166561805419005
2000,15,0.039806720836121814,0.06724267798120646
2000,16,0.09456638795240328,0.08897573757429132
2000,17,0.13322608044354853,0.12998437008355274
2000,18,0.16229872291404418,0.17340763045656948
2000,19,0.2225751246154529,0.24429865562979008
2000,20,0.34801250256226957,0.34808583182982844
2000,21,0.4830144402185441,0.47925102352993953
2000,22,0.6202549843847652,0.6142969080618893
2000,23,0.7349140946822732,0.6919905845162682
2000,24,0.7179878187227237,0.7760956150304094
2000,25,0.8710017092370523,0.8333666901134192
2000,26,0.9024511023798261,0.9525284581968293
2000,27,1.0892259917125244,1.0400925620176409
2000,28,1.125947098400808,1.1618589006921767
2000,29,1.2528420445771848,1.250528520243948
2000,30,1.3609982088012105,1.3429362168471648
2000,31,1.4214766908001504,1.4475077157701604
2000,32,1.5662434716090212,1.5471373322061046
2000,33,1.651365004826274,1.651981951640624
2000,34,1.731510421603788,1.7122642082889301
2000,35,1.750595293558009,1.7784475049293016
2000,36,1.8491451646403037,1.7853091051779209
2000,37,1.7553212326359302,1.8313435038944026
2000,38,1.8933583004181032,1.8654540251452
2000,39,1.9449833358114386,1.8897498790529401
2000,40,1.8308817421380208,1.9204052149626598
2000,41,1.9899222654116893,1.9150649379714242
2000,42,1.9300426362202372,1.9470393478356987
2000,43,1.9219090091278994,1.9161898244193556
2000,44,1.8963692507343548,1.909093839804206
2002,15,0.04322009072633945,0.0642746414175747
2002,16,0.08545438097633967,0.08612054815235351
2002,17,0.13013673367289827,0.14129643913583798
2002,18,0.21025167762614919,0.19092502912124223
2002,19,0.23308365009489823,0.25793743783763057
2002,20,0.3273834472515889,0.3324780644973409
2002,21,0.4361450503669818,0.4155945071629188
2002,22,0.4874555334649711,0.5094200465997384
2002,23,0.6138531110709159,0.6250702172530692
2002,24,0.7676181880940762,0.7337987009183788
2002,25,0.8153329138652228,0.8702590606367531
2002,26,1.0336677036182305,0.9595293028638656
2002,27,1.0283509862620461,1.059413065338349
2002,28,1.113844239170431,1.1324954466359336
2002,29,1.2507696787259657,1.2422207257409545
2002,30,1.360998928707488,1.3359053731022383
2002,31,1.3861014721579674,1.4363178514313497
2002,32,1.5594467381060437,1.5347473982021131
2002,33,1.6751300013747734,1.6555411217349183
2002,34,1.7325897715133203,1.6994170934228345
2002,35,1.6885092922671237,1.7590811827274724
2002,36,1.8469914568187913,1.8110942255438194
2002,37,1.8835787518786768,1.8779510573434477
2002,38,1.9021433311543636,1.8959063360085306
2002,39,1.9015562034901876,1.9197310037894844
2002,40,1.9544816851601334,1.9157515388008528
2002,41,1.8913319161547102,1.9339765839456373
2002,42,1.9572545380402149,1.9171635302262298
2002,43,1.9031652006101434,1.9357884055713745
2002,44,1.9459867826971362,1.924801836950329
2004,15,0.048402400003319905,0.04072539002467249
2004,16,0.03353164538696955,0.05326202940742299
2004,17,0.07719371234148846,0.07116461397250401
2004,18,0.10681303636721894,0.13380460640541378
2004,19,0.22615301031742333,0.20049800913096322
2004,20,0.26517781016303554,0.2920837028901348
2004,21,0.37974312236905894,0.3903147354211862
2004,22,0.5215578643522021,0.5044175760056483
2004,23,0.6059036045799894,0.5975694636087294
2004,24,0.6681625679071637,0.7193875874533786
2004,25,0.8870455599831477,0.835196319007402
2004,26,0.956912712286829,0.9953464290432368
2004,27,1.1498711765237681,1.0666946510717177
2004,28,1.0901197656729527,1.1547386878769763
2004,29,1.2187546512586647,1.2436547548247452
2004,30,1.4235430657997814,1.383714432934898
2004,31,1.516252095285278,1.50006953921073
2004,32,1.55366311649527,1.5770860578529526
2004,33,1.6521901589379178,1.61840416109391
2004,34,1.6455148442523346,1.6985744414156159
2004,35,1.796677059645983,1.776056765161893
2004,36,1.897111462521263,1.8552805022012093
2004,37,1.8779439656253583,1.8898829256014071
2004,38,1.8951750574114603,1.8434916574769398
2004,39,1.7588466763595032,1.8539160108154142
2004,40,1.9062656928806918,1.830674470238303
2004,41,1.8245758021007876,1.9082001642426178
2004,42,1.9997526071800698,1.9074422714110313
2004,43,1.9040597234444603,1.9151765877491662
2004,44,1.8464667828737575,1.8748516409039504
2006,15,0.044529300779227635,0.054421733158730806
2006,16,0.06327237087676327,0.06736021783096323
2006,17,0.09509428299755672,0.08989567801231098
2006,18,0.116105119349468,0.12926790529819354
2006,19,0.17771225553947412,0.18248954533174264
2006,20,0.2506147928654421,0.2735126299512358
2006,21,0.3960503534302602,0.39644400807257013
2006,22,0.5362830504376905,0.4961741778286307
2006,23,0.5496553411969651,0.595260711270075
2006,24,0.6998623899972183,0.6949349547077105
2006,25,0.8278681279613773,0.8282725259480528
2006,26,0.9611105970918199,0.922265507078185
2006,27,0.985147332043154,1.0416872039946377
2006,28,1.179431056517825,1.1239311062728454
2006,29,1.2007701706539395,1.2659798108768932
2006,30,1.4231157622395094,1.3502713842350123
2006,31,1.4367407843118407,1.4940461922946298
2006,32,1.6317252947536744,1.5939835106477451
2006,33,1.7123663236680131,1.7047208929158673
2006,34,1.7614570519775892,1.7887398282187936
2006,35,1.8873777925748336,1.8160159451529105
2006,36,1.797692419320959,1.848008398994322
2006,37,1.858879970399946,1.8445176572298607
2006,38,1.876200930777974,1.8943366980017475
2006,39,1.9502285272098967,1.9002757099272323
2006,40,1.879437532481066,1.882051616136953
2006,41,1.82162662579162,1.8649628050164888
2006,42,1.8943893636241966,1.861564388085687
2006,43,1.869990275120579,1.8684340349109012
2006,44,1.843114362138259,1.8569833985274449
2008,15,0.012962772762954166,0.02270263233023071
2008,16,0.03169913138154602,0.04416122093605257
2008,17,0.08389634967227526,0.08425664966576539
2008,18,0.13967590447465153,0.1340547929810216
2008,19,0.1853414111417014,0.20608853499588087
2008,20,0.29240684762112973,0.27320151537100745
2008,21,0.3410695323190434,0.36600721391676017
2008,22,0.4617312504990157,0.446839854768881
2008,23,0.535569954911853,0.5546356200142384
2008,24,0.6671388378554826,0.656455447999509
2008,25,0.7670355602486761,0.7706523775782095
2008,26,0.8768248002453649,0.8965777751125398
2008,27,1.0353731766243959,1.032708464865375
2008,28,1.1785246975609007,1.1568968002696445
2008,29,1.2634979040052365,1.280133624899143
2008,30,1.4068707280196155,1.3969060986948485
2008,31,1.5232653138274244,1.4862302213546956
2008,32,1.5351544306554492,1.5953021140604557
2008,33,1.7156481677044266,1.697239160827583
2008,34,1.8366530456695427,1.816690405619586
2008,35,1.9042833365098437,1.865066135075544
2008,36,1.8519559662927707,1.8613822270801237
2008,37,1.8309692548442706,1.8660157386010345
2008,38,1.9132146366263978,1.9091935553594495
