qtr_date,cpi,pi,pi_l1,pi_l2,core_pce,core_pce_pi,core_pce_pi_l1,core_pce_pi_l2,exp_pi10,unrate,nairu,unrate_gap,unemp,job_open,v_u,gscpi,good4u_views,good4u_views_norm,good4u_views_log,y2021_2022
2004-01-01,186.70000000000002,3.3707057372350135,1.515289987454338,2.9750704040989007,79.80166666666666,2.1947699042637936,1.7881526975653372,1.8266957194658318,2.4204,5.7,5.017017429,0.6829825710000001,8342.666666666666,3493.6666666666665,0.41889921330179614,-0.2866524929471252,0.0,0.0,0.0,0
2004-04-01,188.16666666666666,3.130017749571934,3.3707057372350135,1.515289987454338,80.25766666666667,2.2791609796911416,2.1947699042637936,1.7881526975653372,2.5064,5.599999999999999,5.015019231,0.5849807689999986,8222.666666666666,3519.3333333333335,0.4280827800774014,0.4045010311104118,0.0,0.0,0.0,0
2004-07-01,189.36666666666667,2.542830389345596,3.130017749571934,3.3707057372350135,80.545,1.4294968863346469,2.2791609796911416,2.1947699042637936,2.513,5.433333333333334,5.013388508999999,0.41994482433333413,8017.666666666667,3725.3333333333335,0.4646610551524784,-0.12402161432764729,0.0,0.0,0.0,0
2004-10-01,191.4,4.272123249553061,2.542830389345596,3.130017749571934,80.98166666666667,2.162702862305821,1.4294968863346469,2.2791609796911416,2.5004,5.433333333333334,5.012123508999999,0.4212098243333342,7975.666666666667,3829.6666666666665,0.4801173847701406,-0.18515038425738584,0.0,0.0,0.0,0
2005-01-01,192.36666666666667,2.0151176119828307,4.272123249553061,2.542830389345596,81.55799999999999,2.8366527901891203,2.162702862305821,1.4294968863346469,2.4945,5.3,5.011218059,0.2887819409999999,7833.666666666667,3937.6666666666665,0.502748378981818,-0.16887058723914175,0.0,0.0,0.0,0
2005-04-01,193.66666666666666,2.694078053996307,2.0151176119828307,4.272123249553061,81.962,1.9765206556776604,2.8366527901891203,2.162702862305821,2.5231,5.1000000000000005,5.01066073,0.08933927000000086,7615.666666666667,4006.0,0.5260828506846895,-1.0787648502530967,0.0,0.0,0.0,0
2005-07-01,196.6,6.013095811705682,2.694078053996307,2.0151176119828307,82.28133333333334,1.5554177048553441,1.9765206556776604,2.8366527901891203,2.7008,4.966666666666667,5.010434094,-0.04376742733333305,7434.666666666667,4250.0,0.5715950371036514,-0.4335327357550261,0.0,0.0,0.0,0
2005-10-01,198.4333333333333,3.7127935112675203,6.013095811705682,2.694078053996307,82.83133333333335,2.664856890147149,1.5554177048553441,1.9765206556776604,2.5329,4.966666666666667,5.01051409,-0.043847423333333246,7432.666666666667,4238.0,0.5703704852956374,-0.4674901949798696,0.0,0.0,0.0,0
2006-01-01,199.46666666666667,2.0775786003692787,3.7127935112675203,6.013095811705682,83.31099999999999,2.3096726271411683,2.664856890147149,1.5554177048553441,2.512,4.733333333333333,5.010869535,-0.2775362016666669,7106.666666666667,4484.666666666667,0.631200603225044,-0.4896897584208426,0.0,0.0,0.0,0
2006-04-01,201.26666666666665,3.5934362449882684,2.0775786003692787,3.7127935112675203,83.97466666666666,3.173829111764448,2.3096726271411683,2.664856890147149,2.5046,4.633333333333333,5.011461778999999,-0.3781284456666665,7033.666666666667,4622.333333333333,0.6570665990395269,0.12725846940926563,0.0,0.0,0.0,0
