
bls_area_name,bls_target,census_area_name,match_score,method
"Lexington-Fayette, KY","Lexington-Fayette, KY","Lexington-Fayette, KY",100.0,exact
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN Metro Area, KY",100.0,add metro area
"Owensboro, KY","Owensboro, KY","Owensboro, KY",100.0,exact
"Paducah, KY-IL","Paducah, KY-IL","Paducah, KY-IL Metro Area, KY",100.0,add metro area
"Alexandria, LA","Alexandria, LA","Alexandria, LA",100.0,exact
"Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",100.0,exact
"Hammond, LA","Hammond, LA","Hammond, LA",100.0,exact
"Houma-Bayou Cane-Thibodaux, LA","Houma-Bayou Cane-Thibodaux, LA","Houma-Bayou Cane-Thibodaux, LA",100.0,exact
"Lafayette, LA","Lafayette, LA","Lafayette, LA",100.0,exact
"Lake Charles, LA","Lake Charles, LA","Lake Charles, LA",100.0,exact
"Monroe, LA","Monroe, LA","Monroe, LA",100.0,exact
"New Orleans-Metairie, LA","New Orleans-Metairie, LA","New Orleans-Metairie, LA",100.0,exact
"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA","Shreveport-Bossier City, LA",100.0,exact
"Slidell-Mandeville-Covington, LA","Slidell-Mandeville-Covington, LA","Slidell-Mandeville-Covington, LA",100.0,exact
"Bangor, ME","Bangor, ME","Bangor, ME",100.0,exact
"Lewiston-Auburn, ME","Lewiston-Auburn, ME","Lewiston-Auburn, ME",100.0,exact
"Portland-South Portland, ME","Portland-South Portland, ME","Portland-South Portland, ME",100.0,exact
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",100.0,exact
"Frederick-Gaithersburg-Bethesda, MD Metropolitan Division","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, DC",100.0,add metro area
"Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV Metro Area, MD",100.0,add metro area
"Lexington Park, MD","Lexington Park, MD","Lexington Park, MD",100.0,exact
"Salisbury, MD","Salisbury, MD","Salisbury, MD",100.0,exact
"Amherst Town-Northampton, MA","Amherst Town-Northampton, MA","Amherst Town-Northampton, MA",100.0,exact
"Barnstable Town, MA","Barnstable Town, MA","Barnstable Town, MA",100.0,exact
"Boston, MA Metropolitan Division","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area, MA",100.0,add metro area
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area, MA",100.0,add metro area
"Cambridge-Newton-Framingham, MA Metropolitan Division","Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area, MA",100.0,add metro area
"Pittsfield, MA","Pittsfield, MA","Pittsfield, MA",100.0,exact
"Springfield, MA","Springfield, MA","Springfield, MA",100.0,exact
"Worcester, MA","Worcester, MA","Worcester, MA",100.0,exact
"Ann Arbor, MI","Ann Arbor, MI","Ann Arbor, MI",100.0,exact
"Battle Creek, MI","Battle Creek, MI","Battle Creek, MI",100.0,exact
"Bay City, MI","Bay City, MI","Bay City, MI",100.0,exact
"Detroit-Dearborn-Livonia, MI Metropolitan Division","Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",100.0,exact
"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",100.0,exact
"Flint, MI","Flint, MI","Flint, MI",100.0,exact
